security,time,BI_price_1,BI_price_2,BI_price_3,BI_price_4,BI_price_5,BI_quantity_1,BI_quantity_2,BI_quantity_3,BI_quantity_4,BI_quantity_5,OF_price_1,OF_price_2,OF_price_3,OF_price_4,OF_price_5,OF_quantity_1,OF_quantity_2,OF_quantity_3,OF_quantity_4,OF_quantity_5
GFGV79115D,2025-11-11T10:29:17.545452,280.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFGV79115D,2025-11-11T10:29:17.545601,280.0,270.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFGV79115D,2025-11-11T10:29:17.545881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
GFGV79115D,2025-11-11T10:29:17.546089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,479.999,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0
GFGV79115D,2025-11-11T10:29:17.546298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,479.999,679.999,0.0,0.0,20.0,1.0,1.0,0.0,0.0
GFGV79115D,2025-11-11T10:29:17.546509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,479.999,679.999,680.0,0.0,20.0,1.0,1.0,2.0,0.0
GFGV79115D,2025-11-11T10:29:17.546730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,479.999,679.999,680.0,800.0,20.0,1.0,1.0,2.0,11.0
GFGV79115D,2025-11-11T10:29:19.483237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,470.0,479.999,679.999,680.0,9.0,20.0,1.0,1.0,2.0
GFGV79115D,2025-11-11T10:29:26.468743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,479.999,679.999,680.0,0.0,9.0,1.0,1.0,2.0,0.0
GFGV79115D,2025-11-11T10:29:26.469445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,479.999,679.999,680.0,800.0,9.0,1.0,1.0,2.0,11.0
GFGV79115D,2025-11-11T10:29:33.119907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,465.0,479.999,679.999,680.0,1.0,9.0,1.0,1.0,2.0
GFGV79115D,2025-11-11T10:29:42.090621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,465.0,479.999,679.999,680.0,21.0,9.0,1.0,1.0,2.0
GFGV79115D,2025-11-11T10:29:48.728594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,460.0,465.0,479.999,679.999,20.0,21.0,9.0,1.0,1.0
GFGV79115D,2025-11-11T10:30:03.745941,280.0,270.0,0.0,0.0,0.0,88.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFGV79115D,2025-11-11T10:30:06.236498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,460.0,465.0,479.999,679.999,20.0,1.0,9.0,1.0,1.0
